Count,Zip Code,Latitude,Longitude,Tenure Months,Monthly Charges,Churn Value,Churn Score,CLTV
1,90003,33.964131,-118.272783,2,53.85,1,86,3239
1,90005,34.059281,-118.30742,2,70.7,1,67,2701
1,90006,34.048013,-118.293953,8,99.65,1,86,5372
1,90010,34.062125,-118.315709,28,104.8,1,84,5003
1,90015,34.039224,-118.266293,49,103.7,1,89,5340
1,90020,34.066367,-118.309868,10,55.2,1,78,5925
1,90022,34.02381,-118.156582,1,39.65,1,100,5433
1,90024,34.066303,-118.435479,1,20.15,1,92,4832
1,90028,34.099869,-118.326843,47,99.35,1,77,5789
1,90029,34.089953,-118.294824,1,30.2,1,97,2915
1,90032,34.078821,-118.177576,17,64.7,1,74,3022
1,90039,34.110845,-118.259595,5,69.7,1,66,2454
1,90041,34.137412,-118.207607,34,106.35,1,65,2941
1,90042,34.11572,-118.192754,11,97.85,1,70,5674
1,90056,33.987945,-118.370442,2,80.65,1,90,5586
1,90061,33.92128,-118.274186,15,99.1,1,82,2966
1,90063,34.044271,-118.185237,8,80.65,1,69,5302
1,90065,34.108833,-118.229715,18,95.45,1,81,3179
1,90211,34.063947,-118.383001,9,94.4,1,96,5571
1,90255,33.97803,-118.217141,1,79.35,1,87,2483
1,90262,33.923573,-118.200669,7,75.15,1,70,3457
1,90292,33.977468,-118.445475,12,78.95,1,86,5806
1,90301,33.956445,-118.358634,5,21.05,1,66,2604
1,90303,33.936291,-118.332639,25,98.5,1,88,5337
1,90403,34.031529,-118.491156,68,110.0,1,86,5034
1,90504,33.867257,-118.330794,55,96.75,1,75,5154
1,90602,33.972119,-118.020188,37,76.5,1,67,2793
1,90606,33.976678,-118.065875,10,100.25,1,87,5998
1,90631,33.940619,-117.9513,3,74.4,1,76,4415
1,90660,33.989524,-118.089299,27,78.05,1,95,4638
1,90704,33.391181,-118.421305,25,58.6,1,99,4190
1,90710,33.798266,-118.300237,1,35.45,1,80,2301
1,90712,33.840524,-118.148403,2,44.35,1,76,2570
1,90720,33.79499,-118.065591,1,70.45,1,76,3964
1,90731,33.736387,-118.284363,8,71.15,1,66,2662
1,90745,33.822295,-118.26411,1,45.65,1,73,2600
1,90804,33.783047,-118.1486,7,95.0,1,94,2786
1,91001,34.196837,-118.142236,20,82.4,1,86,5719
1,91016,34.1528,-118.000482,4,70.9,1,75,4287
1,91024,34.168686,-118.057505,58,45.3,1,100,5444
1,91042,34.296574,-118.244839,2,104.4,1,83,4690
1,91103,34.167465,-118.165327,53,94.85,1,80,4328
1,91106,34.139402,-118.128658,15,74.45,1,99,5717
1,91107,34.159007,-118.087353,7,76.45,1,81,4419
1,91202,34.167926,-118.267539,1,29.95,1,95,4534
1,91204,34.136306,-118.26036,8,84.5,1,86,2152
1,91206,34.162515,-118.203869,13,79.25,1,73,5142
1,91207,34.182378,-118.262922,1,24.8,1,94,4851
1,91304,34.224377,-118.632656,6,91.0,1,94,2283
1,91345,34.266389,-118.459744,1,79.9,1,98,3394
1,91350,34.502432,-118.41459,19,106.6,1,71,3764
1,91352,34.231053,-118.338307,2,46.0,1,76,2667
1,91381,34.364153,-118.615583,4,70.15,1,67,2227
1,91402,34.223768,-118.445461,4,50.05,1,82,3394
1,91411,34.17847,-118.459472,1,55.2,1,81,3638
1,91504,34.213049,-118.317651,1,84.6,1,66,2484
1,91601,34.1692,-118.372498,2,54.4,1,81,2556
1,91605,34.207295,-118.400022,11,95.0,1,85,5980
1,91722,34.097345,-117.906736,15,74.4,1,86,4616
1,91723,34.084747,-117.886844,1,48.55,1,77,5687
1,91731,34.079934,-118.046695,2,70.4,1,75,5687
1,91732,34.074492,-118.01462,1,40.2,1,65,5828
1,91744,34.031441,-117.936436,2,44.6,1,99,4884
1,91746,34.038983,-117.991372,3,41.15,1,96,2314
1,91748,33.976753,-117.897367,13,106.9,1,84,2494
1,91762,34.057256,-117.667677,59,19.35,1,83,5084
1,91764,34.074087,-117.605618,16,94.45,1,81,3810
1,91766,34.042286,-117.756106,1,24.8,1,73,5087
1,91768,34.067932,-117.785168,1,70.6,1,69,3338
1,91770,34.065108,-118.082791,5,85.4,1,80,3676
1,91773,34.102119,-117.815532,52,105.05,1,65,4839
1,91791,34.061634,-117.893169,18,95.15,1,68,4643
1,91803,34.074736,-118.145959,1,70.0,1,97,4094
1,91901,32.827184,-116.703729,8,74.5,1,80,4345
1,91902,32.67117,-117.00232,10,44.85,1,83,4061
1,91905,32.677097,-116.304991,24,76.1,1,98,2018
1,91931,32.857946,-116.561917,1,73.6,1,80,2565
1,91934,32.649787,-116.2237,4,95.45,1,85,3677
1,91948,32.830852,-116.444601,32,74.9,1,69,4105
1,92004,33.200369,-116.192313,5,80.6,1,69,5715
1,92009,33.098018,-117.258203,38,80.3,1,81,2071
1,92014,32.948262,-117.256086,24,93.15,1,73,2212
1,92020,32.79697,-116.969082,54,82.45,1,83,4149
1,92029,33.079834,-117.134275,2,70.35,1,73,2671
1,92057,33.254497,-117.285879,7,73.85,1,67,2473
1,92059,33.384345,-117.072619,2,80.6,1,92,2683
1,92060,33.309852,-116.823091,68,75.8,1,81,4903
1,92061,33.313828,-116.940501,43,104.6,1,91,5250
1,92066,33.215251,-116.53633,63,103.4,1,98,4352
1,92082,33.25283,-116.986079,2,90.4,1,76,4157
1,92103,32.747484,-117.166877,4,84.8,1,73,4939
1,92104,32.741499,-117.127409,21,41.9,1,97,4778
1,92105,32.741859,-117.090353,10,80.25,1,85,3598
1,92108,32.774046,-117.142454,27,30.75,1,91,2927
1,92116,32.765299,-117.122565,5,96.5,1,98,5383
1,92122,32.85723,-117.209774,2,85.65,1,73,3878
1,92129,32.961064,-117.134917,25,104.95,1,66,3642
1,92154,32.578103,-117.012975,1,50.65,1,76,2431
1,92201,33.713891,-116.237257,1,90.85,1,81,3424
1,92210,33.537646,-116.291089,11,19.95,1,80,5888
1,92211,33.762759,-116.324817,55,85.45,1,100,5502
1,92240,33.948558,-116.516976,34,73.95,1,94,5795
1,92250,32.811001,-115.152865,69,99.45,1,80,4020
1,92257,33.345825,-115.596574,1,19.9,1,92,3351
1,92258,33.906496,-116.569499,1,19.6,1,95,3448
1,92259,32.698964,-115.886656,3,81.35,1,73,2818
1,92273,32.790282,-115.689559,22,83.3,1,88,3804
1,92274,33.53604,-116.119222,1,75.3,1,67,4902
1,92301,34.667815,-117.536183,61,19.4,1,82,4221
1,92307,34.55082,-117.122396,12,45.4,1,68,2887
1,92325,34.248061,-117.29028,60,105.9,1,84,4105
1,92327,34.875144,-116.821698,1,69.55,1,73,2792
1,92338,34.702766,-116.093376,28,81.05,1,98,5201
1,92356,34.508417,-116.856103,4,101.15,1,84,4417
1,92358,34.238162,-117.534306,7,99.8,1,98,2031
1,92371,34.441123,-117.537886,13,55.95,1,91,4498
1,92373,34.003243,-117.138286,1,55.0,1,71,4877
1,92377,34.156758,-117.404686,1,74.7,1,80,5980
1,92382,34.186211,-117.07683,24,80.25,1,77,4418
1,92389,35.824572,-116.274755,5,96.1,1,66,4192
1,92392,34.486835,-117.362274,15,69.0,1,73,5671
1,92397,34.358321,-117.618263,48,45.3,1,65,4926
1,92401,34.105935,-117.2914,8,83.55,1,65,2879
1,92410,34.106922,-117.297553,1,74.35,1,93,2814
1,92503,33.890046,-117.455583,2,74.4,1,77,4263
1,92506,33.930931,-117.361788,22,43.75,1,66,3099
1,92509,34.004379,-117.447864,5,28.45,1,89,4099
1,92518,33.888323,-117.277533,12,99.7,1,76,2538
1,92544,33.644585,-116.871544,20,94.1,1,87,2666
1,92548,33.761894,-117.120868,2,94.2,1,72,3715
1,92549,33.755039,-116.741796,6,80.5,1,98,5032
1,92557,33.970661,-117.255039,5,74.35,1,82,5273
1,92563,33.581045,-117.14719,40,104.8,1,88,3492
1,92571,33.828289,-117.201666,27,75.2,1,99,4517
1,92586,33.707483,-117.200006,23,75.6,1,81,2115
1,92587,33.69887,-117.25071,34,100.05,1,72,2568
1,92612,33.643095,-117.810896,1,85.0,1,80,5679
1,92630,33.644849,-117.684254,10,86.05,1,85,2966
1,92646,33.666301,-117.969501,13,45.55,1,74,4856
1,92648,33.679659,-118.016195,39,86.3,1,98,3364
1,92661,33.601309,-117.902304,32,80.35,1,92,5974
1,92701,33.748478,-117.858918,35,100.25,1,72,2744
1,92707,33.714829,-117.872941,56,100.3,1,67,5170
1,92805,33.830209,-117.906099,12,19.0,1,72,3535
1,92806,33.83796,-117.870494,1,75.3,1,87,3244
1,92807,33.848733,-117.788357,4,89.2,1,74,5808
1,92823,33.924143,-117.79387,1,85.7,1,66,4880
1,92860,33.925833,-117.559639,12,61.65,1,67,5670
1,92887,33.884073,-117.732197,65,105.25,1,91,4196
1,93001,34.360261,-119.306383,9,29.95,1,83,2573
1,93003,34.279221,-119.221437,9,65.0,1,76,3983
1,93041,34.110124,-119.100972,7,20.0,1,100,4479
1,93067,34.420998,-119.60137,49,90.05,1,96,5059
1,93101,34.419203,-119.710008,43,110.75,1,65,2728
1,93110,34.437945,-119.77191,65,105.5,1,89,5720
1,93201,35.869626,-119.498771,56,104.55,1,91,6268
1,93202,36.315979,-119.710852,10,85.25,1,75,3573
1,93204,35.916943,-120.129921,43,56.15,1,65,2152
1,93205,35.523991,-118.400432,1,89.55,1,99,4996
1,93208,36.057458,-118.591951,20,94.55,1,84,5604
1,93210,36.186867,-120.387793,1,45.7,1,95,2295
1,93215,35.772244,-119.209689,2,89.5,1,80,2065
1,93219,35.858054,-119.305858,3,69.55,1,87,2876
1,93221,36.301689,-119.018233,1,74.6,1,94,3860
1,93224,35.215731,-119.57013,8,19.65,1,83,5432
1,93234,36.217864,-120.080117,2,19.85,1,68,2362
1,93238,35.852892,-118.397782,4,24.25,1,93,2038
1,93244,36.462671,-118.997291,2,69.65,1,80,2323
1,93247,36.205465,-119.085807,4,45.65,1,78,2864
1,93252,34.737031,-119.460557,1,75.05,1,78,4838
1,93255,35.676978,-118.101378,52,49.15,1,90,5597
1,93260,35.861928,-118.636698,2,34.7,1,65,3146
1,93263,35.490705,-119.286833,1,80.0,1,88,2046
1,93272,36.047414,-119.344304,2,49.25,1,89,3475
1,93285,35.690535,-118.552784,3,75.1,1,69,4965
1,93292,36.37559,-119.211689,3,50.15,1,86,3273
1,93311,35.16207,-119.194488,25,79.85,1,85,4535
1,93405,35.236549,-120.727344,1,19.55,1,66,3556
1,93436,34.601055,-120.382917,4,85.95,1,74,5640
1,93437,34.757477,-120.550507,3,45.35,1,67,2450
1,93440,34.758699,-120.275839,33,94.5,1,96,4333
1,93445,35.059695,-120.604741,30,91.7,1,97,2482
1,93449,35.165668,-120.655842,45,87.25,1,73,5269
1,93501,35.097323,-118.171288,10,98.55,1,80,3658
1,93528,35.363339,-117.637641,20,98.55,1,92,5444
1,93531,35.214982,-118.59049,15,85.9,1,96,3579
1,93535,34.712708,-117.889656,22,89.25,1,82,3161
1,93536,34.741406,-118.38111,3,70.3,1,66,3038
1,93552,34.557711,-118.029441,15,93.35,1,77,5264
1,93553,34.445239,-117.894868,1,19.9,1,100,4248
1,93554,35.405722,-117.773354,5,88.9,1,79,4356
1,93555,35.603913,-117.67828,33,95.8,1,76,4161
1,93562,35.74837,-117.384948,2,82.0,1,97,3051
1,93591,34.598221,-117.79593,2,45.35,1,81,3478
1,93604,37.458367,-119.345011,1,52.2,1,71,4138
1,93606,36.798882,-120.019511,46,110.0,1,81,2403
1,93624,36.397745,-120.119911,62,96.75,1,92,5016
1,93626,37.027663,-119.69056,10,98.5,1,74,5184
1,93630,36.727418,-120.123526,6,85.35,1,75,4694
1,93637,36.902954,-120.194274,40,101.3,1,70,2576
1,93638,37.004068,-119.930027,1,69.55,1,76,3042
