Count,Zip Code,Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV
1,90003,33.964131,-118.272783,2,53.85,108.15,1,86,3239
1,90005,34.059281,-118.30742,2,70.7,151.65,1,67,2701
1,90006,34.048013,-118.293953,8,99.65,820.5,1,86,5372
1,90010,34.062125,-118.315709,28,104.8,3046.05,1,84,5003
1,90015,34.039224,-118.266293,49,103.7,5036.3,1,89,5340
1,90020,34.066367,-118.309868,10,55.2,528.35,1,78,5925
1,90022,34.02381,-118.156582,1,39.65,39.65,1,100,5433
1,90024,34.066303,-118.435479,1,20.15,20.15,1,92,4832
1,90028,34.099869,-118.326843,47,99.35,4749.15,1,77,5789
1,90029,34.089953,-118.294824,1,30.2,30.2,1,97,2915
1,90032,34.078821,-118.177576,17,64.7,1093.1,1,74,3022
1,90039,34.110845,-118.259595,5,69.7,316.9,1,66,2454
1,90041,34.137412,-118.207607,34,106.35,3549.25,1,65,2941
1,90042,34.11572,-118.192754,11,97.85,1105.4,1,70,5674
1,90056,33.987945,-118.370442,2,80.65,144.15,1,90,5586
1,90061,33.92128,-118.274186,15,99.1,1426.4,1,82,2966
1,90063,34.044271,-118.185237,8,80.65,633.3,1,69,5302
1,90065,34.108833,-118.229715,18,95.45,1752.55,1,81,3179
1,90211,34.063947,-118.383001,9,94.4,857.25,1,96,5571
1,90255,33.97803,-118.217141,1,79.35,79.35,1,87,2483
1,90262,33.923573,-118.200669,7,75.15,496.9,1,70,3457
1,90292,33.977468,-118.445475,12,78.95,927.35,1,86,5806
1,90301,33.956445,-118.358634,5,21.05,113.85,1,66,2604
1,90303,33.936291,-118.332639,25,98.5,2514.5,1,88,5337
1,90403,34.031529,-118.491156,68,110.0,7611.85,1,86,5034
1,90504,33.867257,-118.330794,55,96.75,5238.9,1,75,5154
1,90602,33.972119,-118.020188,37,76.5,2868.15,1,67,2793
1,90606,33.976678,-118.065875,10,100.25,1064.65,1,87,5998
1,90631,33.940619,-117.9513,3,74.4,229.55,1,76,4415
1,90660,33.989524,-118.089299,27,78.05,2135.5,1,95,4638
1,90704,33.391181,-118.421305,25,58.6,1502.65,1,99,4190
1,90710,33.798266,-118.300237,1,35.45,35.45,1,80,2301
1,90712,33.840524,-118.148403,2,44.35,81.25,1,76,2570
1,90720,33.79499,-118.065591,1,70.45,70.45,1,76,3964
1,90731,33.736387,-118.284363,8,71.15,563.65,1,66,2662
1,90745,33.822295,-118.26411,1,45.65,45.65,1,73,2600
1,90804,33.783047,-118.1486,7,95.0,655.5,1,94,2786
1,91001,34.196837,-118.142236,20,82.4,1592.35,1,86,5719
1,91016,34.1528,-118.000482,4,70.9,273.0,1,75,4287
1,91024,34.168686,-118.057505,58,45.3,2651.2,1,100,5444
1,91042,34.296574,-118.244839,2,104.4,242.8,1,83,4690
1,91103,34.167465,-118.165327,53,94.85,5000.2,1,80,4328
1,91106,34.139402,-118.128658,15,74.45,1145.7,1,99,5717
1,91107,34.159007,-118.087353,7,76.45,503.6,1,81,4419
1,91202,34.167926,-118.267539,1,29.95,29.95,1,95,4534
1,91204,34.136306,-118.26036,8,84.5,662.65,1,86,2152
1,91206,34.162515,-118.203869,13,79.25,1111.65,1,73,5142
1,91207,34.182378,-118.262922,1,24.8,24.8,1,94,4851
1,91304,34.224377,-118.632656,6,91.0,531.0,1,94,2283
1,91345,34.266389,-118.459744,1,79.9,79.9,1,98,3394
1,91350,34.502432,-118.41459,19,106.6,1934.45,1,71,3764
1,91352,34.231053,-118.338307,2,46.0,84.5,1,76,2667
1,91381,34.364153,-118.615583,4,70.15,268.35,1,67,2227
1,91402,34.223768,-118.445461,4,50.05,179.35,1,82,3394
1,91411,34.17847,-118.459472,1,55.2,55.2,1,81,3638
1,91504,34.213049,-118.317651,1,84.6,84.6,1,66,2484
1,91601,34.1692,-118.372498,2,54.4,114.1,1,81,2556
1,91605,34.207295,-118.400022,11,95.0,1120.3,1,85,5980
1,91722,34.097345,-117.906736,15,74.4,1074.3,1,86,4616
1,91723,34.084747,-117.886844,1,48.55,48.55,1,77,5687
1,91731,34.079934,-118.046695,2,70.4,147.15,1,75,5687
1,91732,34.074492,-118.01462,1,40.2,40.2,1,65,5828
